Topic,Question,VariableName,Responses,Year,Type,DisplayOrder
Health Status/Healthy Days,Would you say that in general your health is---,GENHLTH,1=Excellent  2=Very good  3=Good  4=Fair  5=Poor  7=DK/NS  9=Refused,2013,Core Question,1
Health Status/Healthy Days,"Now thinking about your physical health, which includes physical illness and injury, for how many days during the past 30 days was your physical health not good? (Moved to Healthy Days in 2004)",PHYSHLTH,__ __=Number of days  88=None  77=DK/NS  99=Refused,2013,Core Question,2
Health Status/Healthy Days,"Now thinking about your mental health, which includes stress, depression, and problems with emotions, for how many days during the past 30 days was your mental health not good? (Moved to Healthy Days in 2004)",MENTHLTH,__ __=Number of days  88=None  77=DK/NS  99=Refused,2013,Core Question,3
Health Status/Healthy Days,"During the past 30 days, for about how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation? (Moved to Healthy Days in 2004)",POORHLTH,__ __=Number of days  88=None  77=DK/NS  99=Refused,2013,Core Question,4
Health Care Access,"Do you have any kind of health care coverage, including health insurance, prepaid plans such as HMOs, or government plans such as Medicare, or Indian Health Service?",HLTHPLN1,1=Yes 2=No 7=DK/NS 9=Refused,2013,Core Question,5
Health Care Coverage/Access,"Do you have one person you think of as your personal doctor or health care provider? (If ""No"" ask ""Is there more than one or is there no person who you think of?"").",PERSDOC2,"1=Yes, only one  2=More than one  3=No  7=DK/NS  9=Refused",2013,Core Question,6
Health Care Coverage/Access,"Was there a time during the past 12 months when you needed to see a doctor, but could not because of the cost?",MEDCOST,1=Yes  2=No  7=DK/NS  9=Refused,2013,Core Question,7
Health Care Coverage/Access,"About how long has it been since you last visited a doctor for a routine checkup? A routine checkup is a general physical exam, not an exam for a specific injury, illness, or condition. (Variable name change)",CHECKUP1,1=Within past year (anytime less than 12 months ago)  2=Within past 2 years (1 year but less than 2 years ago)  3=Within past 5 years (2 years but less than 5 years ago)   4=5 or more years ago  7=DK/NS  8=Never  9=Refused,2013,Core Question,8
Inadequate Sleep,"On average, how many hours of sleep do you get in a 24-hour period?",SLEPTIM1,1-24=Number of hours [1-24] 77=DK/NS 99=Refused,2013,Core Question,9
Hypertension (Awareness),"Have you ever been told by a doctor, nurse, or other health professional that you have high blood pressure? (If ""Yes"" and respondent is female, ask ""Was this only when you were pregnant?"").",BPHIGH4,"1=Yes  2=Yes, but female told only during pregnancy  3=No  4=Told borderline high or pre-hypertensive  7=DK/NS  9=Refused",2013,Core Question,10
Hypertension (Awareness),Are you currently taking medicine for your high blood pressure?,BPMEDS,1=Yes  2=No  7=DK/NS  9=Refused,2013,Core Question,11
