"","Event","Type","Record","Athlete","Nationality","Location","Year"
"1","Mens 100m","time",10.06,"Bob Hayes","United States","Tokyo, Japan",1964
"2","Mens 100m","time",10.03,"Jim Hines","United States","Sacramento, USA",1968
"3","Mens 100m","time",10.02,"Charles Greene","United States","Mexico City, Mexico",1968
"4","Mens 100m","time",9.95,"Jim Hines","United States","Mexico City, Mexico",1968
"5","Mens 100m","time",9.93,"Calvin Smith","United States","Colorado Springs, USA",1983
"6","Mens 100m","time",9.92,"Carl Lewis","United States","Seoul, South Korea",1988
"7","Mens 100m","time",9.9,"Leroy Burrell","United States","New York, USA",1991
"8","Mens 100m","time",9.86,"Carl Lewis","United States","Tokyo, Japan",1991
"9","Mens 100m","time",9.85,"Leroy Burrell","United States","Lausanne, Switzerland",1994
"10","Mens 100m","time",9.84,"Donovan Bailey","Canada","Atlanta, USA",1996
"11","Mens 100m","time",9.79,"Maurice Greene","United States","Athens, Greece",1999
"12","Mens 100m","time",9.78,"Tim Montgomery","United States","Paris, France",2002
"13","Mens 100m","time",9.77,"Asafa Powell","Jamaica","Athens, Greece",2005
"14","Mens 100m","time",9.74,"Asafa Powell","Jamaica","Rieti, Italy",2007
"15","Mens 100m","time",9.72,"Usain Bolt","Jamaica","New York, USA",2008
"16","Mens 100m","time",9.69,"Usain Bolt","Jamaica","Beijing, China",2008
"17","Mens 100m","time",9.58,"Usain Bolt","Jamaica","Berlin, Germany",2009
"18","Womens 100m","time",11.07,"Wyomia Tyus"," United States","Mexico City, Mexico",1968
"19","Womens 100m","time",11.07,"Renate Stecher"," East Germany","Munich, West Germany",1972
"20","Womens 100m","time",11.04,"Inge Helten"," West Germany","Fürth, West Germany",1976
"21","Womens 100m","time",11.01,"Annegret Richter"," West Germany","Montreal, Canada",1976
"22","Womens 100m","time",10.88,"Marlies Oelsner"," East Germany","Dresden, East Germany",1977
"23","Womens 100m","time",10.88,"Marlies Göhr"," East Germany","Karl-Marx-Stadt, East Germany",1982
"24","Womens 100m","time",10.81,"Marlies Göhr"," East Germany","Berlin, East Germany",1983
"25","Womens 100m","time",10.79,"Evelyn Ashford"," United States","US Air Force Academy, United States",1983
"26","Womens 100m","time",10.76,"Evelyn Ashford"," United States","Zürich, Switzerland",1984
"27","Womens 100m","time",10.49,"Florence Griffith-Joyner"," United States","Indianapolis, United States",1988
"28","Mens 800m","time",111.9," Ted Meredith","USA","Stockholm, Sweden",1912
"29","Mens 800m","time",111.6," Otto Peltzer","GER","London, United Kingdom",1926
"30","Mens 800m","time",110.6," Sera Martin","FRA","Paris, France",1928
"31","Mens 800m","time",109.8," Tommy Hampson","GBR","Los Angeles, USA",1932
"32","Mens 800m","time",109.8," Ben Eastman","USA","Princeton, USA",1934
"33","Mens 800m","time",109.7," Glenn Cunningham","USA","Stockholm, Sweden",1936
"34","Mens 800m","time",109.6," Elroy Robinson","USA","New York, USA",1937
"35","Mens 800m","time",108.4," Sydney Wooderson","GBR","Motspur Park, United Kingdom",1938
"36","Mens 800m","time",106.6," Rudolf Harbig","GER","Milan, Italy",1939
"37","Mens 800m","time",105.7," Roger Moens","BEL","Oslo, Norway",1955
"38","Mens 800m","time",104.3," Peter Snell","NZL","Christchurch, New Zealand",1962
"39","Mens 800m","time",104.3," Ralph Doubell","AUS","Mexico City, Mexico",1968
"40","Mens 800m","time",104.3," Dave Wottle","USA","Eugene, USA",1972
"41","Mens 800m","time",103.7," Marcello Fiasconaro","ITA","Milan, Italy",1973
"42","Mens 800m","time",103.5," Alberto Juantorena","CUB","Montreal, Canada",1976
"43","Mens 800m","time",103.4," Alberto Juantorena","CUB","Sofia, Bulgaria",1977
"44","Mens 800m","time",102.4," Sebastian Coe","GBR","Oslo, Norway",1979
"45","Mens 800m","time",101.7," Sebastian Coe","GBR","Florence, Italy",1981
"46","Mens 800m","time",101.7," Wilson Kipketer","DEN","Stockholm, Sweden",1997
"47","Mens 800m","time",101.2," Wilson Kipketer","DEN","Zürich, Switzerland",1997
"48","Mens 800m","time",101.1," Wilson Kipketer","DEN","Cologne, Germany",1997
"49","Mens 800m","time",101.1," David Rudisha","KEN","Berlin, Germany",2010
"50","Mens 800m","time",101," David Rudisha","KEN","Rieti, Italy",2010
"51","Mens 800m","time",100.9," David Rudisha","KEN","London, United Kingdom",2012
"52","Womens 800m","time",150.4," Georgette Lenoir","FRA","Paris, France",1922
"53","Womens 800m","time",146.6," Mary Lines","GBR","London, United Kingdom",1922
"54","Womens 800m","time",143.8," Lina Radke","GER","Breslau, Germany",1927
"55","Womens 800m","time",140.4," Inga Gentzel","SWE","Stockholm, Sweden",1928
"56","Womens 800m","time",139.6," Lina Radke ","GER","Brieg, Poland",1928
"57","Womens 800m","time",136.8," Lina Radke","GER","Amsterdam, Netherlands",1928
"58","Womens 800m","time",135.9," Anna Larsson","SWE","Stockholm, Sweden",1944
"59","Womens 800m","time",134.8," Anna Larsson","SWE","Hälsingborg, Sweden",1945
"60","Womens 800m","time",133.8," Anna Larsson ","SWE","Stockholm, Sweden",1945
"61","Womens 800m","time",133," Yevdokia Vasilyeva","URS","Moscow, Soviet Union",1950
"62","Womens 800m","time",132.2," Valentina Pomogayeva","URS","Moscow, Soviet Union",1951
"63","Womens 800m","time",132," Nina Otkalenko","URS","Minsk, Soviet Union",1951
"64","Womens 800m","time",128.5," Nina Otkalenko","URS","Kiev, Soviet Union",1952
"65","Womens 800m","time",127.3," Nina Otkalenko","URS","Moscow, Soviet Union",1953
"66","Womens 800m","time",126.6," Nina Otkalenko","URS","Kiev, Soviet Union",1954
"67","Womens 800m","time",125," Nina Otkalenko","URS","Zagreb, Yugoslavia",1955
"68","Womens 800m","time",124.3," Lyudmila Shevtsova","URS","Moscow, Soviet Union",1960
"69","Womens 800m","time",124.3," Lyudmila Shevtsova","URS","Rome, Italy",1960
"70","Womens 800m","time",121.2," Dixie Willis","AUS","Perth, Australia",1962
"71","Womens 800m","time",121.1," Ann Packer","GBR","Tokyo, Japan",1964
"72","Womens 800m","time",121," Judy Pollock","AUS","Helsinki, Finland",1967
"73","Womens 800m","time",120.5," Vera Nikolic","YUG","London, United Kingdom",1968
"74","Womens 800m","time",118.5," Hildegard Falck","FRG","Stuttgart, Germany",1971
"75","Womens 800m","time",117.5," Svetla Zlateva","BUL","Athens, Greece",1973
"76","Womens 800m","time",116," Valentina Gerasimova","URS","Kiev, Soviet Union",1976
"77","Womens 800m","time",114.9," Tatyana Kazankina","URS","Montreal, Canada",1976
"78","Womens 800m","time",114.9," Nadezhda Olizarenko","URS","Moscow, Soviet Union",1980
"79","Womens 800m","time",113.5," Nadezhda Olizarenko","URS","Moscow, Soviet Union",1980
"80","Womens 800m","time",113.3," Jarmila Kratochvílová","TCH","Munich, West Germany",1983
"81","Mens TripleJump","distance",15.52," Dan Ahearn ","USA","New York, U.S.",1911
"82","Mens TripleJump","distance",15.52," Nick Winter ","AUS","Paris, France",1924
"83","Mens TripleJump","distance",15.58," Mikio Oda ","JPN","Tokyo, Japan",1931
"84","Mens TripleJump","distance",15.72," Chuhei Nambu ","JPN","Los Angeles, U.S.",1932
"85","Mens TripleJump","distance",15.78," Jack Metcalfe ","AUS","Sydney, Australia",1935
"86","Mens TripleJump","distance",16," Naoto Tajima ","JPN","Berlin, Germany",1936
"87","Mens TripleJump","distance",16," Adhemar da Silva ","BRA","São Paulo, Brazil",1950
"88","Mens TripleJump","distance",16.01," Adhemar da Silva ","BRA","Rio de Janeiro, Brazil",1951
"89","Mens TripleJump","distance",16.12," Adhemar da Silva ","BRA","Helsinki, Finland",1952
"90","Mens TripleJump","distance",16.22," Adhemar da Silva ","BRA","Helsinki, Finland",1952
"91","Mens TripleJump","distance",16.23," Leonid Shcherbakov ","URS","Moscow, Soviet Union",1953
"92","Mens TripleJump","distance",16.56," Adhemar da Silva ","BRA","Mexico City, Mexico",1955
"93","Mens TripleJump","distance",16.59," Oleg Ryakhovskiy ","URS","Moscow, Soviet Union",1958
"94","Mens TripleJump","distance",16.7," Oleg Fyodoseyev ","URS","Nalchik, Soviet Union",1959
"95","Mens TripleJump","distance",17.03," Józef Szmidt ","POL","Olsztyn, Poland",1960
"96","Mens TripleJump","distance",17.1," Giuseppe Gentile ","ITA","Mexico City, Mexico",1968
"97","Mens TripleJump","distance",17.22," Giuseppe Gentile ","ITA","Mexico City, Mexico",1968
"98","Mens TripleJump","distance",17.23," Viktor Sanyeyev ","URS","Mexico City, Mexico",1968
"99","Mens TripleJump","distance",17.27," Nelson Prudêncio ","BRA","Mexico City, Mexico",1968
"100","Mens TripleJump","distance",17.39," Viktor Sanyeyev ","URS","Mexico City, Mexico",1968
"101","Mens TripleJump","distance",17.4," Pedro Pérez ","CUB","Cali, Colombia",1971
"102","Mens TripleJump","distance",17.44," Viktor Sanyeyev ","URS","Sukhumi, Soviet Union",1972
"103","Mens TripleJump","distance",17.89," João Carlos de Oliveira ","BRA","Mexico City, Mexico",1975
"104","Mens TripleJump","distance",17.97," Willie Banks ","USA","Indianapolis, U.S.",1985
"105","Mens TripleJump","distance",18.29," Jonathan Edwards ","GBR","Gothenburg, Sweden",1995
