vfalter,vfsafe,vfproblem,age,gender,education,brexit_vote,vote2017_dum,nation_weight,pid
Slightly agree,Slightly disagree,Slightly agree,66,Female,1,2. Leave,Winner,1.89319518,UKIP Brexit
Disagree,Disagree,Disagree,59,Male,2,2. Leave,Winner,0.970705736,Conservative
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,54,Male,1,2. Leave,NA,0.595163627,Other
Slightly agree,Neither agree nor disagree,Slightly agree,68,Female,2,1. Remain,Winner,0.564456859,Conservative
Agree,Slightly disagree,Slightly agree,58,Male,2,2. Leave,Winner,0.877720372,Conservative
Slightly agree,Neither agree nor disagree,Neither agree nor disagree,67,Male,3,2. Leave,Winner,0.657395422,Conservative
Agree,Strongly disagree,Strongly agree,51,Male,3,2. Leave,Winner,0.778119652,Conservative
Slightly disagree,Agree,Disagree,59,Female,3,2. Leave,Loser,0.861591222,Other
Neither agree nor disagree,Strongly disagree,Slightly agree,59,Male,3,1. Remain,Winner,0.661738103,Other
Slightly agree,Slightly disagree,Neither agree nor disagree,65,Male,3,1. Remain,Winner,0.577192564,Conservative
Neither agree nor disagree,Slightly agree,Slightly agree,69,Female,1,2. Leave,NA,0.530167775,Other
Agree,Disagree,Agree,71,Male,2,2. Leave,Winner,0.870851725,UKIP Brexit
Slightly agree,Slightly disagree,Slightly agree,61,Male,2,2. Leave,Winner,0.940577648,Conservative
Neither agree nor disagree,Slightly agree,Neither agree nor disagree,70,Male,2,2. Leave,Winner,0.703673563,Other
Strongly agree,Strongly disagree,Strongly agree,61,Male,2,2. Leave,Winner,1.127648453,Conservative
Disagree,Neither agree nor disagree,Slightly disagree,74,Female,1,2. Leave,NA,0.498064274,Other
Disagree,Agree,Disagree,66,Female,2,1. Remain,Winner,0.58596992,Conservative
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,32,Female,3,1. Remain,Winner,0.456475477,Conservative
Strongly disagree,Strongly agree,Strongly disagree,78,Female,2,1. Remain,Loser,0.502699772,Other
Disagree,Neither agree nor disagree,Disagree,57,Male,1,1. Remain,Loser,0.653285734,Other
Slightly agree,Disagree,Agree,32,Male,2,NA,NA,1.902678008,Other
Slightly disagree,Neither agree nor disagree,Slightly disagree,36,Female,3,1. Remain,Loser,0.467024152,Other
Slightly disagree,Agree,Slightly disagree,48,Male,2,1. Remain,Winner,0.572022702,Conservative
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,68,Female,1,2. Leave,Winner,0.687933186,UKIP Brexit
Slightly agree,Slightly disagree,Slightly agree,60,Female,2,1. Remain,Loser,0.79720258,Other
Neither agree nor disagree,Slightly disagree,Slightly agree,74,Female,2,2. Leave,Loser,0.671392374,Other
