"","X","speed","dist"
"1",1,4,2
"2",2,4,10
"3",3,7,4
"4",4,7,22
"5",5,8,16
"6",6,9,10
"7",7,10,18
"8",8,10,26
"9",9,10,34
"10",10,11,17
"11",11,11,28
"12",12,12,14
"13",13,12,20
"14",14,12,24
"15",15,12,28
"16",16,13,26
"17",17,13,34
"18",18,13,34
"19",19,13,46
"20",20,14,26
"21",21,14,36
"22",22,14,60
"23",23,14,80
"24",24,15,20
"25",25,15,26
"26",26,15,54
"27",27,16,32
"28",28,16,40
"29",29,17,32
"30",30,17,40
"31",31,17,50
"32",32,18,42
"33",33,18,56
"34",34,18,76
"35",35,18,84
"36",36,19,36
"37",37,19,46
"38",38,19,68
"39",39,20,32
"40",40,20,48
"41",41,20,52
"42",42,20,56
"43",43,20,64
"44",44,22,66
"45",45,23,54
"46",46,24,70
"47",47,24,92
"48",48,24,93
"49",49,24,120
"50",50,25,85
