Data_Zone,Intermediate_Zone,Council_area,Total_population,Working_age_population,Income_rate,Income_count,Employment_rate,Employment_count,CIF,ALCOHOL,DRUG,SMR,DEPRESS,LBWT,EMERG,Attendance,Attainment,no_qualifications,not_participating,University,drive_petrol,drive_GP,drive_post,drive_primary,drive_retail,drive_secondary,PT_GP,PT_post,PT_retail,Broadband,crime_count,crime_rate,overcrowded_count,nocentralheat_count,overcrowded_rate,nocentralheat_rate,urban
S01006506,Culter,Aberdeen City,894,580,0.08,71,0.08,49,65,28.72818263,30.36572824,69.55405294,0.13154961,0,74.21743469,0.85207,5.882352941,52.75863103,0,0.297297,2.540103211,3.074294725,1.616238532,2.615747423,1.544260321,9.930833333,8.86358945,5.856135321,6.023405963,0.105050505,11.13918817,124.5994203,87,10,0.102112676,0.011737089,0
S01006507,Culter,Aberdeen City,793,470,0.05,43,0.05,25,45,129.9210165,126.4336837,80.57479222,0.142503098,0,86.08167681,0.84746,5.961538462,95.85408107,0.017699115,0.117188,3.91507177,4.309811603,2.555858254,3.64669697,2.8496561,11.04281609,9.978271531,7.515,7.926028708,0.013586957,10.1265347,127.6990505,85,4,0.101674641,0.004784689,0
S01006508,Culter,Aberdeen City,624,461,0.06,40,0.04,19,45,71.02115367,18.26983086,41.14112616,0.128125,0.037037037,69.31582422,0.90476,5.75,38.55968279,0.014925373,0.185185,3.323024883,3.784548989,1.440991446,3.247325103,2.062255054,10.61676829,8.620699844,4.321493002,5.770909798,0.005633803,8.101227762,129.827368,31,8,0.048211509,0.01244168,0
S01006509,Culter,Aberdeen City,537,307,0.1,52,0.08,26,80,80.47329293,28.48558849,103.4846837,0.163963964,0.047619048,88.1756104,0.94268,6.2,80.0600707,0,0.25,2.622991379,2.778025862,2.620681034,1.936907895,2.160142241,10.03647059,7.935112069,8.433327586,8.329818966,0.113074205,4.050613881,75.43042609,42,6,0.072413793,0.010344828,0
S01006510,Culter,Aberdeen City,663,415,0.1,68,0.08,32,95,89.11049148,44.29032988,138.6446488,0.220566319,0.045454546,88.70196706,0.79739,5.866666667,77.15815797,0.056818182,0.164948,2.115003882,2.358334627,2.408416149,1.845671642,1.784635093,9.65,5.568963509,6.966428571,6.632608696,0.003095975,11.13918817,168.011888,50,7,0.086655113,0.012131716,0
S01006511,Culter,Aberdeen City,759,453,0.04,30,0.04,17,50,54.7042242,0,54.24017289,0.12242268,0.125,72.69155439,0.90419,5.785714286,53.7954967,0.018691589,0.128571,1.516910786,1.769580559,3.227433422,2.517456897,2.593052597,8.614008264,4.934953395,7.66855526,7.340099867,0.052959502,*,*,27,8,0.036048064,0.010680908,0
S01006512,Culter,Aberdeen City,539,345,0.02,13,0.02,8,40,28.66101048,0,40.68272205,0.10701107,0.0625,54.62149182,0.93151,5.863636364,26.73724705,0,0.153061,5.365871869,5.776136802,3.909219653,5.374183673,4.277914258,12.2152381,19.01185934,16.25665703,16.96018304,0.538011696,7.088574292,131.5134377,27,9,0.054435484,0.018145161,0
S01006513,"Cults, Bieldside and Milltimber West",Aberdeen City,788,406,0.02,14,0.03,13,40,27.65732244,0,137.8361773,0.209631728,0,72.3575304,0.94012,6.096774194,40.46730619,0.025641026,0.283019,3.573032407,4.322546296,5.524486883,1.945431034,4.910960648,6.262142857,11.26949074,10.98277392,11.09934414,0.034482759,*,*,15,4,0.026408451,0.007042254,0
S01006514,"Cults, Bieldside and Milltimber West",Aberdeen City,1123,709,0.02,17,0.02,12,25,17.96600844,0,106.5321065,0.115452931,0.08,58.53145943,0.94355,6.5,18.81246474,0.01242236,0.219731,2.722303452,3.517337009,4.693964525,2.889620253,4.061291946,7.039017857,9.742909875,10.00215724,9.730057526,0.136,9.113881233,81.15655595,10,3,0.010638298,0.003191489,0
S01006515,"Cults, Bieldside and Milltimber West",Aberdeen City,816,529,0.01,5,0.01,7,25,23.38123532,0,34.02792968,0.101781171,0,58.49145493,0.95781,6,15.11780333,0,0.20438,4.444311024,5.177401575,6.337329396,3.063817734,5.78468832,6.878787129,17.18346129,17.09095472,17.02836614,0.215547703,*,*,29,1,0.038057743,0.001312336,0
